Unnamed: 0,filename,valence,arousal,prob. anger,prob. disgust,prob. fear,prob. joy,prob. sadness,prob. surprise,prob. neutral,valence_scaled,arousal_scaled,label
1726,joy/288.jpg,8.5,3.9,0.0,0.0,0.0,0.766667,0.0,0.233333,0.0,0.9733333333333334,-0.2533333333333334,joy
469,fear/79.jpg,4.3,5.5,0.0,0.233333,0.0666667,0.133333,0.266667,0.0,0.3,-0.1466666666666667,0.1733333333333333,fear
354,joy/60.jpg,6.6,4.7,0.0,0.0,0.0666667,0.5,0.0,0.266667,0.166667,0.4666666666666665,-0.0399999999999999,joy
203,fear/35.jpg,4.2,4.3,0.0,0.133333,0.166667,0.0,0.166667,0.3,0.233333,-0.1733333333333333,-0.1466666666666667,fear
587,surprise/98.jpg,6.8,5.4,0.0,0.0333333,0.1,0.522222,0.0,0.155556,0.188889,0.5199999999999998,0.1466666666666669,surprise
188,disgust/32.jpg,1.2,4.7,0.133333,0.7,0.0,0.0,0.133333,0.0333333,0.0,-0.9733333333333334,-0.0399999999999999,disgust
499,surprise/84.jpg,6.4,5.3,0.0,0.0,0.0666667,0.4,0.2,0.166667,0.166667,0.4133333333333335,0.1199999999999998,surprise
939,fear/157.jpg,3.1,4.3,0.0666667,0.133333,0.366667,0.0,0.2,0.0666667,0.166667,-0.4666666666666667,-0.1466666666666667,fear
1612,sadness/269.jpg,6.9,6.0,0.0,0.0,0.0,0.488889,0.0,0.155556,0.355556,0.5466666666666669,0.3066666666666668,sadness
1493,anger/249.jpg,6.3,4.2,0.0,0.0,0.133333,0.4,0.0,0.2,0.266667,0.3866666666666665,-0.1733333333333333,anger
1202,anger/201.jpg,5.0,4.8,0.0,0.0,0.133333,0.333333,0.0333333,0.0,0.5,0.04,-0.0133333333333334,anger
728,surprise/121.jpg,7.1,6.4,0.0,0.0,0.0,0.533333,0.0,0.266667,0.2,0.6000000000000001,0.4133333333333335,surprise
1855,surprise/310.jpg,6.5,4.7,0.0,0.0333333,0.0666667,0.633333,0.0,0.0666667,0.2,0.4400000000000001,-0.0399999999999999,surprise
1153,fear/194.jpg,6.2,5.2,0.0222222,0.0,0.288889,0.133333,0.0,0.388889,0.166667,0.3599999999999999,0.0933333333333332,fear
719,disgust/120.jpg,3.3,5.4,0.0,0.366667,0.233333,0.0666667,0.0666667,0.0333333,0.233333,-0.4133333333333334,0.1466666666666669,disgust
1498,fear/251.jpg,2.9,5.8,0.0222222,0.1,0.355556,0.0,0.322222,0.0,0.2,-0.52,0.2533333333333332,fear
996,surprise/166.jpg,7.0,4.7,0.0,0.0,0.0222222,0.188889,0.0666667,0.388889,0.333333,0.5733333333333335,-0.0399999999999999,surprise
1270,disgust/213.jpg,4.5,4.7,0.0666667,0.433333,0.0666667,0.0,0.166667,0.0666667,0.2,-0.0933333333333333,-0.0399999999999999,disgust
478,joy/80.jpg,7.0,3.4,0.0,0.0,0.0,0.588889,0.0333333,0.155556,0.222222,0.5733333333333335,-0.3866666666666667,joy
556,disgust/93.jpg,3.7,4.0,0.0333333,0.366667,0.133333,0.0,0.0666667,0.0,0.4,-0.3066666666666666,-0.2266666666666666,disgust
1178,joy/196.jpg,6.9,5.7,0.0666667,0.0,0.0333333,0.333333,0.0,0.3,0.266667,0.5466666666666669,0.2266666666666665,joy
444,disgust/75.jpg,1.9,4.2,0.0388889,0.538889,0.238889,0.0,0.0166667,0.0666667,0.1,-0.7866666666666667,-0.1733333333333333,disgust
196,fear/33.jpg,2.8,4.6,0.15,0.0,0.583333,0.0666667,0.05,0.0833333,0.0666667,-0.5466666666666667,-0.0666666666666667,fear
1170,anger/196.jpg,5.5,4.6,0.0,0.0,0.1,0.155556,0.2,0.188889,0.355556,0.1733333333333333,-0.0666666666666667,anger
1386,sadness/232.jpg,3.8,4.8,0.0,0.166667,0.0,0.0333333,0.666667,0.0,0.133333,-0.28,-0.0133333333333334,sadness
1115,fear/186.jpg,6.4,6.8,0.0,0.0,0.188889,0.388889,0.0333333,0.188889,0.2,0.4133333333333335,0.5199999999999998,fear
1834,surprise/306.jpg,4.4,5.4,0.0,0.0666667,0.6,0.166667,0.0,0.133333,0.0333333,-0.1199999999999998,0.1466666666666669,surprise
1731,fear/289.jpg,4.2,5.2,0.1,0.166667,0.2,0.0333333,0.0666667,0.166667,0.266667,-0.1733333333333333,0.0933333333333332,fear
834,joy/139.jpg,7.4,4.8,0.0,0.0,0.0,0.633333,0.0,0.3,0.0666667,0.6800000000000002,-0.0133333333333334,joy
340,fear/57.jpg,5.6,5.0,0.0,0.0,0.0,0.133333,0.133333,0.233333,0.5,0.1999999999999999,0.04,fear
1182,joy/198.jpg,7.8,3.8,0.0,0.0,0.0,0.666667,0.0,0.266667,0.0666667,0.7866666666666664,-0.28,joy
43,fear/8.jpg,1.2,4.9,0.0333333,0.4,0.466667,0.0,0.0333333,0.0666667,0.0,-0.9733333333333334,0.0133333333333334,fear
1476,joy/247.jpg,6.3,5.6,0.0,0.0,0.0,0.388889,0.0,0.288889,0.322222,0.3866666666666665,0.1999999999999999,joy
500,sadness/84.jpg,6.7,4.7,0.0,0.0,0.0,0.633333,0.0666667,0.2,0.1,0.4933333333333332,-0.0399999999999999,sadness
1588,disgust/265.jpg,6.5,5.2,0.0,0.133333,0.0,0.4,0.133333,0.1,0.233333,0.4400000000000001,0.0933333333333332,disgust
965,joy/161.jpg,5.7,5.9,0.0,0.0,0.222222,0.288889,0.0666667,0.355556,0.0666667,0.2266666666666665,0.2800000000000002,joy
1681,surprise/280.jpg,7.4,5.4,0.0,0.0,0.0,0.433333,0.0,0.133333,0.433333,0.6800000000000002,0.1466666666666669,surprise
1661,anger/278.jpg,6.2,6.0,0.0333333,0.0,0.3,0.133333,0.0,0.333333,0.2,0.3599999999999999,0.3066666666666668,anger
1300,fear/217.jpg,4.8,3.9,0.0666667,0.0666667,0.133333,0.0,0.133333,0.133333,0.466667,-0.0133333333333334,-0.2533333333333334,fear
1021,joy/170.jpg,7.6,6.2,0.0,0.0666667,0.0,0.5,0.0,0.3,0.133333,0.7333333333333334,0.3599999999999999,joy
595,disgust/100.jpg,2.5,6.4,0.0555556,0.344444,0.411111,0.0,0.0333333,0.0222222,0.133333,-0.6266666666666667,0.4133333333333335,disgust
1734,fear/290.jpg,3.9,5.0,0.233333,0.1,0.366667,0.0,0.0333333,0.2,0.0666667,-0.2533333333333334,0.04,fear
109,fear/19.jpg,6.6,5.8,0.0,0.0,0.0666667,0.333333,0.0666667,0.166667,0.366667,0.4666666666666665,0.2533333333333332,fear
832,surprise/139.jpg,5.0,4.2,0.0,0.4,0.0666667,0.133333,0.0666667,0.0666667,0.266667,0.04,-0.1733333333333333,surprise
117,fear/21.jpg,3.6,4.7,0.0,0.2,0.0666667,0.0333333,0.166667,0.1,0.433333,-0.3333333333333333,-0.0399999999999999,fear
1670,fear/279.jpg,3.2,4.2,0.0333333,0.05,0.75,0.0,0.15,0.0,0.0166667,-0.4399999999999999,-0.1733333333333333,fear
1366,joy/228.jpg,7.1,4.4,0.0,0.0,0.0,0.766667,0.0,0.1,0.133333,0.6000000000000001,-0.1199999999999998,joy
253,fear/43.jpg,7.4,4.8,0.0,0.0,0.0,0.466667,0.0333333,0.2,0.3,0.6800000000000002,-0.0133333333333334,fear
1070,anger/179.jpg,4.0,5.0,0.0333333,0.0666667,0.6,0.0666667,0.0333333,0.0666667,0.133333,-0.2266666666666666,0.04,anger
214,disgust/36.jpg,2.8,3.8,0.0333333,0.422222,0.255556,0.0,0.0,0.0222222,0.266667,-0.5466666666666667,-0.28,disgust
1068,anger/178.jpg,5.9,5.4,0.0666667,0.0,0.133333,0.566667,0.0,0.166667,0.0666667,0.2800000000000002,0.1466666666666669,anger
